entity_id,entity_type,native_id,label,domain_id,subdomain_id,extended_data_json
ENT-000001,claim,CLM-000001,Kili/clan system,DOM-05,DOM-05-S01,"{""local_term"": ""Killi"", ""geo"": ""Jharkhand""}"
ENT-000002,claim,CLM-000002,Seasonal festivals,DOM-10,DOM-10-S01,"{""local_term"": """", ""geo"": ""Jharkhand""}"
ENT-000003,claim,CLM-000003,Song and dance terminology,DOM-16,DOM-16-S01,"{""local_term"": ""durang; susun"", ""geo"": ""Jharkhand""}"
ENT-000004,claim,CLM-000004,Cham utarna,DOM-02,DOM-02-S08,"{""local_term"": ""Cham utarna"", ""geo"": ""Jharkhand""}"
ENT-000005,claim,CLM-000005,Lota-pani engagement,DOM-06,DOM-06-S06,"{""local_term"": ""Lota-pani"", ""geo"": ""Jharkhand""}"
ENT-000006,claim,CLM-000006,Dali Takka,DOM-06,DOM-06-S07,"{""local_term"": ""Dali Takka"", ""geo"": ""Jharkhand""}"
ENT-000007,claim,CLM-000007,Marriage duration,DOM-06,DOM-06-S10,"{""local_term"": """", ""geo"": ""Jharkhand""}"
ENT-000008,claim,CLM-000008,Post-death body treatment,DOM-20,DOM-20-S04,"{""local_term"": """", ""geo"": ""Jharkhand""}"
ENT-000009,claim,CLM-000009,Widow remarriage,DOM-06,DOM-06-S18,"{""local_term"": """", ""geo"": ""Jharkhand""}"
ENT-000010,claim,CLM-000010,Patthalgari,DOM-21,DOM-21-S09,"{""local_term"": ""Patthalgari"", ""geo"": ""Jharkhand""}"
ENT-000011,claim,CLM-000011,Horadiri,DOM-21,DOM-21-S09,"{""local_term"": ""Horadiri"", ""geo"": ""Jharkhand""}"
ENT-000012,claim,CLM-000012,Saasandiri / Chalpadiri,DOM-21,DOM-21-S09,"{""local_term"": ""Chalpadiri; Saasandiri"", ""geo"": ""Jharkhand""}"
ENT-000013,claim,CLM-000013,Ziddiri,DOM-02,DOM-02-S04,"{""local_term"": ""Ziddiri"", ""geo"": ""Jharkhand""}"
ENT-000014,claim,CLM-000014,Subsistence context,DOM-08,DOM-08-S01,"{""local_term"": """", ""geo"": ""Khunti""}"
ENT-000015,claim,CLM-000015,Pahan and Sarna,DOM-09,DOM-09-S06,"{""local_term"": ""Pahan; Sarna"", ""geo"": ""Khunti""}"
ENT-000016,claim,CLM-000016,Singbonga,DOM-09,DOM-09-S03,"{""local_term"": ""Singbonga"", ""geo"": ""Khunti""}"
ENT-000017,claim,CLM-000017,Ancestral spirits,DOM-09,DOM-09-S05,"{""local_term"": ""Ora Bongako"", ""geo"": ""Khunti""}"
ENT-000018,claim,CLM-000018,Sarhul season,DOM-10,DOM-10-S02,"{""local_term"": ""Sarhul"", ""geo"": ""Khunti""}"
ENT-000019,claim,CLM-000019,Mage,DOM-10,DOM-10-S05,"{""local_term"": ""Mage"", ""geo"": ""Khunti""}"
ENT-000020,claim,CLM-000020,Karam,DOM-10,DOM-10-S03,"{""local_term"": ""Karam"", ""geo"": ""Khunti""}"
ENT-000021,claim,CLM-000021,Sohrai,DOM-10,DOM-10-S04,"{""local_term"": ""Sohrai"", ""geo"": ""Khunti""}"
ENT-000022,claim,CLM-000022,Burial and cremation,DOM-20,DOM-20-S07,"{""local_term"": ""Rapa; Topa"", ""geo"": ""Ranchi and Khunti""}"
ENT-000023,claim,CLM-000023,Umbul ader,DOM-21,DOM-21-S05,"{""local_term"": ""Umbul ader"", ""geo"": ""Jagannathpur Mauja, Ranchi""}"
ENT-000024,claim,CLM-000024,Hayom,DOM-21,DOM-21-S06,"{""local_term"": ""Hayom"", ""geo"": ""Jagannathpur Mauja, Ranchi""}"
ENT-000025,claim,CLM-000025,Pathalgarri,DOM-21,DOM-21-S07,"{""local_term"": ""Pathalgarri"", ""geo"": ""Ithe, Murhu, Khunti""}"
ENT-000026,claim,CLM-000026,Jangtopa,DOM-21,DOM-21-S08,"{""local_term"": ""Jangtopa; Jang-ba; Harrgarri"", ""geo"": ""Ranchi and Khunti""}"
ENT-000027,claim,CLM-000027,Saasandiri family capstone,DOM-21,DOM-21-S10,"{""local_term"": ""Saasandiri"", ""geo"": ""Ranchi and Khunti""}"
ENT-000028,claim,CLM-000028,Unnatural-death variation,DOM-20,DOM-20-S12,"{""local_term"": """", ""geo"": ""Ranchi and Khunti""}"
ENT-000029,claim,CLM-000029,Mortuary variation,DOM-22,DOM-22-S02,"{""local_term"": """", ""geo"": ""Ranchi and Khunti""}"
ENT-000030,claim,CLM-000030,Kili exogamy,DOM-05,DOM-05-S05,"{""local_term"": ""kili"", ""geo"": ""Chota Nagpur""}"
ENT-000031,claim,CLM-000031,Historical birth section,DOM-02,DOM-02-S01,"{""local_term"": """", ""geo"": ""Chota Nagpur""}"
