source_id,source_class,title,creator,year,url,source_type,geographic_scope,scope_note,reuse_note
SRC-000001,Government/Tribal Research Institute,"Munda | Dr. Ramdayal Munda Tribal Welfare Research Institute, Jharkhand",Dr. Ramdayal Munda Tribal Welfare Research Institute,n.d.,https://www.trijharkhand.in/en/munda,official_web,Jharkhand,"Current institutional summary of Munda culture, clans, festivals, life-cycle rituals and stone traditions.",public
SRC-000002,Government/District,"Culture & Heritage | District Khunti, Government of Jharkhand",District Administration Khunti,n.d.,https://khunti.nic.in/culture-heritage/,official_web,"Khunti, Jharkhand","District cultural profile including agriculture, Pahan/Sarna, deities, ancestors, festivals and dance.",public
SRC-000003,Government/State,Festivals | Government of Jharkhand,Government of Jharkhand,n.d.,https://jharkhand.gov.in/home/AboutFestivals,official_web,Jharkhand,"Official descriptions of Karam, Sarhul and Sohrai at state level; not Munda-exclusive.",public
SRC-000004,Government/Chief Minister,Sarhul | Chief Minister of Jharkhand,Government of Jharkhand,n.d.,https://cm.jharkhand.gov.in/node/611,official_web,Jharkhand,"Detailed state-level Sarhul description including Pahan, Sal flowers, offerings, music and Handia; applies across multiple tribal communities.",public
SRC-000005,Ethnographic monograph,The Mundas and Their Country,Sarat Chandra Roy,1912,https://commons.wikimedia.org/wiki/File:The_mundas_and_their_country.pdf,public_domain_book,Chota Nagpur,"Foundational historical ethnography; includes ethnography, birth ceremonies, kili, religion, festivals, songs and other subjects.",public_domain
SRC-000006,Bibliographic/index,The Mundas and Their Country — Wikisource index,Sarat Chandra Roy,1912,https://en.wikisource.org/wiki/Index:The_mundas_and_their_country.pdf,public_domain_index,Chota Nagpur,"Searchable index identifies sections including Birth and its ceremonies (pp. 456–460), songs, festivals, Sarna, Sasan and other topics.",CC-BY-SA_platform/public-domain-work
SRC-000007,Peer-reviewed article,An Ethnoarchaeological Study of Mortuary Practices and Megalithic Traditions of the Mundas of Jharkhand,Himanshu Shekhar,2020,https://www.researchgate.net/publication/354144088_An_Ethnoarchaeological_study_of_Mortuary_Practices_and_Megalithic_Traditions_of_the_Mundas_of_Jharkhand,journal_article,Ranchi and Khunti,"Man and Environment XLV(1):1–12; documents primary and secondary funerals, Umbul ader, Pathalgarri, Jangtopa and case studies.",metadata_and_paraphrase_only
SRC-000008,Legal/primary record,"Bhaiya Ram Munda v. Anirudh Patar & Ors., Supreme Court of India",Supreme Court of India,1970,https://indiankanoon.org/doc/334683/,judgment,India / Chota Nagpur context,Judgment quotes Roy on Munda kili exogamy and records testimony concerning Munda/related customary practices.,public
SRC-000009,Anthropological taxonomy,Subjects Covered (OCM) | Human Relations Area Files,"Human Relations Area Files, Yale University",n.d.,https://hraf.yale.edu/resources/reference/outline-of-cultural-materials/,taxonomy,Cross-cultural,OCM is an ethnographic classification system with 90+ major categories and 700+ subcategories.,public_reference
SRC-000010,Anthropological taxonomy,Burial Practices and Funerals | Human Relations Area Files,"Human Relations Area Files, Yale University",2014,https://hraf.yale.edu/burial-practices-and-funerals/,taxonomy_guidance,Cross-cultural,Identifies Burial Practices and Funerals as OCM 764 and lists mortuary dimensions for systematic documentation.,public_reference
SRC-000011,Anthropological taxonomy,Project 1: Research Questions and Hypotheses | HRAF,"Human Relations Area Files, Yale University",n.d.,https://hraf.yale.edu/teach-ehraf/project-1-research-questions-and-hypotheses/,taxonomy_guidance,Cross-cultural,Provides Arranging a Marriage OCM 584 and Puberty and Initiation OCM 881 with detailed scope examples.,public_reference
SRC-000012,Anthropological taxonomy,Basic Guide to Cross-Cultural Research | HRAF,"Human Relations Area Files, Yale University",n.d.,https://hraf.yale.edu/cross-cultural-research/basic-guide-to-cross-cultural-research/,taxonomy_guidance,Cross-cultural,Explains OCM structure and paragraph-level indexing in eHRAF.,public_reference
SRC-000013,Academic abstract/article,Taxonomical study of ethnobotanical plants used in the rituals of Munda tribe of Khunti district,Pushpa Topno; Kunul Kandir,2022,https://www.researchgate.net/publication/378713803_RUJOST_2022_JANUARY,journal_content,Khunti,"Abstract reports Munda ritual/festival plant use related to birth/naming, kanbhedi, marriage, godna, death and festivals.",metadata_and_paraphrase_only
SRC-000014,Government/Tourism,Festivals | Jharkhand Tourism,"Department of Tourism, Government of Jharkhand",n.d.,https://tourism.jharkhand.gov.in/festivals,official_web,Jharkhand,State-level descriptions of Sarhul and Karma among tribal communities; contextual rather than Munda-exclusive.,public
